"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1787790890175734073","Tue May 07 10:25:38 +0000 2024","4734","Pray For Faisal Halim. 🇲🇾🇮🇩 Berikut adalah rangkuman kejadian penyiraman air keras yang membuat pemain Timnas Malaysia Faisal Halim terancam pensiun dini: - Faisal sedang membawa keluarganya ke pusat perbelanjaan tiba-tiba dua orang naik motor mendekatinya dan melemparkan air https://t.co/qMhwvz2Li9","1787790890175734073","https://pbs.twimg.com/media/GM-CVsgbgAA4NzP.jpg","","in","","63","114","942","https://twitter.com/utdabout/status/1787790890175734073","3029512724","utdabout"
"1787144996241723529","Sun May 05 15:39:05 +0000 2024","6037","Nathan pake topi Ivar keren amat begitu ️ : Timnas Indonesia acc https://t.co/8q083oNqaU","1787144996241723529","https://pbs.twimg.com/media/GM025wjbUAApQxj.jpg","","in","","52","22","541","https://twitter.com/jusahourly/status/1787144996241723529","1710535305609326592","jusahourly"
"1787842617226453037","Tue May 07 13:51:11 +0000 2024","4965","Suasana latihan timnas Indonesia di Eropa. Tepatnya di Perancis 🇮🇩 PSSI &amp; KBRI Paris https://t.co/D7Ub1BFt7k","1787842617226453037","https://pbs.twimg.com/media/GM-xXrTasAAkk4M.jpg","","in","Terperangkap Offside","45","79","287","https://twitter.com/FaktaSepakbola/status/1787842617226453037","1316071146","FaktaSepakbola"
"1787689001522196517","Tue May 07 03:40:46 +0000 2024","2838","Timnas Putri 🇮🇩 Anak tiri sepakbola Indonesia [kumparanbolanita] https://t.co/ZweP6Kt2v4","1787689001522196517","https://pbs.twimg.com/ext_tw_video_thumb/1787688882982846464/pu/img/oUgCSW3j3Sezzmtt.jpg","","in","Indonesia","24","80","389","https://twitter.com/indosupporter/status/1787689001522196517","110109093","indosupporter"
"1787669238653792389","Tue May 07 02:22:14 +0000 2024","2921","[A THREAD] APA ITU GARUDA REJECT??? GARUDA KOK REJECT??? -Timnas u16 putri yang dicaci maki netijen sepulang dari Kirgistan. -Keresahan seputar dunia fun football. -Timnas parody @Officialkjti Saatnya gue cerita tentang asal-usul komunitas dan nama 'GARUDA yang REJECT' ini. https://t.co/2DmkxRXblU","1787669238653792389","https://pbs.twimg.com/media/GM8TsTybwAAk9CI.jpg","","in","","25","32","474","https://twitter.com/addogerardo/status/1787669238653792389","120027270","addogerardo"
"1787477111915385014","Mon May 06 13:38:47 +0000 2024","21889"," RESMI : FIFA akhirnya merilis rangking untuk timnas futsal. Indonesia berada di peringkat 28 dunia coy. 🇮🇩 https://t.co/zX5v8kZ0CD","1787477111915385014","https://pbs.twimg.com/media/GM5k9dwbsAA85k7.jpg","","in","","307","853","2345","https://twitter.com/idextratime/status/1787477111915385014","1222927522033094656","idextratime"
"1787283851351666865","Mon May 06 00:50:50 +0000 2024","6075","Timnas Indonesia U-23 Vs Guinea Disiarkan di FIFA+ Begini Cara Biar Bisa Nonton Gratis Streaming Timnas di FIFA + Video IG dato. bola https://t.co/AkQEFKpuyl","1787283851351666865","https://pbs.twimg.com/ext_tw_video_thumb/1787283824361291776/pu/img/3ryGmlmXt2hI5YEO.jpg","","in","Stadion GBK","41","75","1469","https://twitter.com/InfosuporterID/status/1787283851351666865","4379131152","InfosuporterID"
"1787467582985076789","Mon May 06 13:00:55 +0000 2024","1646","Adik-adik kita diajarin cara main bola sama temen-temennya dari Filipina Ini nih kalau punya timnas tapi belum punya kompetisi buat sepakbola perempuan U-17. Dikalahkan Filipina 1-6 jadi pelajaran penting banget gimana sih cara Filipina bikin pembinaan sepakbola perempuan https://t.co/HyCebnn5Ji","1787467582985076789","https://pbs.twimg.com/media/GM5cS04bQAAW8H_.jpg","","in","Indonesia","33","178","252","https://twitter.com/panditfootball/status/1787467582985076789","947281567","panditfootball"
"1787932578441474128","Tue May 07 19:48:39 +0000 2024","9"," Ome Tv Putih Bersih https://t.co/ZtelVzM53B https://t.co/10X8CPdUcx https://t.co/FvRqp46Lp8 https://t.co/EQV0APocsd https://t.co/5mfZblyb7O https://t.co/TvaEopJQPP anime onepiece manga netflix spotify mvs DoodStream Selasa Timnas https://t.co/XWfNVuVJkD","1787932578441474128","https://pbs.twimg.com/media/GNADMpcaQAAiwmu.jpg","","in","","0","0","2","https://twitter.com/sfelera/status/1787932578441474128","789650766969450496","sfelera"
"1787404116987363728","Mon May 06 08:48:44 +0000 2024","6587","Coach Justin: Tim kita (timnas Indonesia) ini medioker kita itu merasa karena euforianya luar biasa kita ini merasa bahwa tim ini harus menang terus. Mereka lupa 17 pemain itu Liga 1 6 pemain dari Liga luar dimana Liga luarnya juga tier 2 tier 3 Youth FC Utrecht Youth https://t.co/y5XAnw7VVw","1787404116987363728","https://pbs.twimg.com/ext_tw_video_thumb/1787403929992716288/pu/img/xFPebGCuDGNkgn87.jpg","","in","","107","325","1278","https://twitter.com/gilabola_ina/status/1787404116987363728","1170153265444442113","gilabola_ina"
